"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: offset","Param: size"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,2.716348402937532,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,48.2408309910054,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,464.0476977688819,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,5717.5083988756805,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,3.0180528411632124,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,70.57422268084089,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,973.8280100313833,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,13603.085804694974,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,3.1507543316163424,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,102.44092055115475,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,1274.2498965454263,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,15454.640966853533,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,2.940200353313211,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,99.62158628929507,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,1161.487741342805,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,18073.56928410243,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,2.721450632538342,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,71.92115364268302,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,1068.8630217587154,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashMapBenchmark.filter","avgt",1,1,9763.343007100957,NaN,"ns/op","1.0","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,2.8001826916150803,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,64.928788214405,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,978.0042614883288,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,10320.633014790805,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,3.8542544602389888,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,95.74033995137424,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,1524.8210942192295,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,13711.684801745729,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,2.6489714723810525,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,88.879147539783,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,1100.2640041761956,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,13001.187335869143,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,2.6787930856156805,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,80.82596006762154,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,939.5218318134255,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,11714.734783806114,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,2.6539549608922717,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,43.20426352481703,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,462.09711243789405,NaN,"ns/op","1.0","100"
"scala.collection.immutable.HashMapBenchmark.filterNot","avgt",1,1,5581.954659008898,NaN,"ns/op","1.0","1000"
