"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: offset","Param: size"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,22.55466611743498,NaN,"ns/op","0.0","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,511.37779885141015,NaN,"ns/op","0.0","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,8840.975634290824,NaN,"ns/op","0.0","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,160733.22218999275,NaN,"ns/op","0.0","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,23.455555630742808,NaN,"ns/op","0.25","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,585.6080402489937,NaN,"ns/op","0.25","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,7633.887136574808,NaN,"ns/op","0.25","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,142981.03495421127,NaN,"ns/op","0.25","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,22.565346228091503,NaN,"ns/op","0.5","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,391.47249212572666,NaN,"ns/op","0.5","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,5539.571068528224,NaN,"ns/op","0.5","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,104824.85039295521,NaN,"ns/op","0.5","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,26.113688262256762,NaN,"ns/op","0.75","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,271.4914236088642,NaN,"ns/op","0.75","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,3673.9126144775846,NaN,"ns/op","0.75","100"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,64368.265314448916,NaN,"ns/op","0.75","1000"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,22.09720561617916,NaN,"ns/op","1.0","1"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,94.0273203660051,NaN,"ns/op","1.0","10"
"scala.collection.immutable.HashSetBenchmark.diff","avgt",1,1,1351.7667711774805,NaN,"ns/op","1.0","100"
